query_id	query_description	query_type	query_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	parameter_index	static_identifiers	dynamic_identifiers	original_dynamic_identifiers	query_value	
1	set query 1 - layer3 1 - silviculture method NG_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 1	NoIdentifier	NoIdentifier	686720.8249999998	
2	set query 2 - layer3 1 - silviculture method NG_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 2	NoIdentifier	NoIdentifier	665102.74595	
3	set query 3 - layer3 1 - silviculture method NG_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 3	NoIdentifier	NoIdentifier	644518.0419325003	
4	set query 4 - layer3 1 - silviculture method NG_E - time period 4	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 4	NoIdentifier	NoIdentifier	624892.7826416146	
5	set query 5 - layer3 1 - silviculture method NG_E - time period 5	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 5	NoIdentifier	NoIdentifier	606159.6039461307	
6	set query 6 - layer3 1 - silviculture method NG_E - time period 6	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 6	NoIdentifier	NoIdentifier	588257.0723038616	
7	set query 7 - layer3 1 - silviculture method NG_E - time period 7	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 7	NoIdentifier	NoIdentifier	571129.1129630664	
8	set query 8 - layer3 1 - silviculture method NG_E - time period 8	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 8	NoIdentifier	NoIdentifier	554724.4954169561	
9	set query 9 - layer3 1 - silviculture method NG_E - time period 9	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 9	NoIdentifier	NoIdentifier	538996.3702574831	
10	set query 10 - layer3 1 - silviculture method NG_E - time period 10	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 10	NoIdentifier	NoIdentifier	523901.85218290874	
11	set query 11 - layer3 1 - silviculture method NG_E - time period 11	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 11	NoIdentifier	NoIdentifier	509401.64445769246	
12	set query 12 - layer3 1 - silviculture method NG_E - time period 12	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 12	NoIdentifier	NoIdentifier	495459.70061001414	
13	set query 13 - layer3 1 - silviculture method NG_E - time period 13	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 13	NoIdentifier	NoIdentifier	482042.9195878398	
14	set query 14 - layer3 1 - silviculture method NG_E - time period 14	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 14	NoIdentifier	NoIdentifier	469120.8709843217	
15	set query 15 - layer3 1 - silviculture method NG_E - time period 15	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 NG_E;7 15	NoIdentifier	NoIdentifier	456665.54729238426	
16	set query 16 - layer3 1 - silviculture method PB_E - time period 1	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 PB_E;7 1	NoIdentifier	NoIdentifier	0.0	
17	set query 17 - layer3 1 - silviculture method PB_E - time period 2	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 PB_E;7 2	NoIdentifier	NoIdentifier	0.0	
18	set query 18 - layer3 1 - silviculture method PB_E - time period 3	null	1.0	null	null	null	null	NoParameter	0 B A;1 N;2 1;3 L B W U G O;4 B C D E F G H I U;5 F G H I J K L M N O P Q R S Z;6 PB_E;7 3	NoIdentifier	NoIdentifier	0.0	
