var_id	var_name	var_value	var_reduced_cost
0	y_0	416639.6	0.0
1	y_1	415806.32	0.0
2	y_2	414974.71	0.0
3	y_3	414144.76	0.0
4	y_4	413316.47	0.0
5	y_5	456818.9	0.0
6	y_6	455905.26	0.0
7	y_7	454993.45	0.0
8	y_8	454083.46	0.0
9	y_9	453175.3	0.0
10	y_10	478912.1	0.0
11	y_11	477954.28	0.0
12	y_12	476998.37	0.0
13	y_13	476044.37	0.0
14	y_14	475092.28	0.0
15	y_15	344964.0	0.0
16	y_16	348324.31	0.0
17	y_17	351057.77	0.0
18	y_18	353283.8	0.0
19	y_19	355864.26	0.0
40	u_0	416639.6	0.0
41	u_1	415806.32	0.0
42	u_2	414974.71	0.0
43	u_3	414144.76	0.0
44	u_4	413316.47	0.0
45	u_5	456818.9	0.0
46	u_6	455905.26	0.0
47	u_7	454993.45	0.0
48	u_8	454083.46	0.0
49	u_9	453175.3	0.0
50	u_10	478912.1	0.0
51	u_11	477954.28	0.0
52	u_12	476998.37	0.0
53	u_13	476044.37	0.0
54	u_14	475092.28	0.0
55	u_15	344964.0	0.0
56	u_16	348324.31	0.0
57	u_17	351057.77	0.0
58	u_18	353283.8	0.0
59	u_19	355864.26	0.0
60	v_0	1.949651701E8	0.0
61	v_1	1.8637272361E8	0.0
62	v_2	1.18765066883E9	0.0
63	v_3	5.7716502861E8	0.0
64	v_4	2.9741130554E8	0.0
65	x_B,R,N,L,D,M,0	101.65	0.0
69	x_B,R,N,L,D,M,4	5.35	0.0
70	x_B,R,N,L,D,L,0	57.95	0.0
74	x_B,R,N,L,D,L,4	3.05	0.0
78	x_B,R,N,L,W,P,3	100.7	0.0
79	x_B,R,N,L,W,P,4	5.3	0.0
81	x_B,R,N,L,W,M,1	891.1	0.0
84	x_B,R,N,L,W,M,4	46.9	0.0
85	x_B,R,N,L,W,L,0	1266.35	0.0
89	x_B,R,N,L,W,L,4	66.65	0.0
93	x_B,R,N,L,C,P,3	76.0	0.0
94	x_B,R,N,L,C,P,4	4.0	0.0
95	x_B,R,N,L,C,M,0	722.95	0.0
99	x_B,R,N,L,C,M,4	38.05	0.0
101	x_B,R,N,L,C,L,1	1492.45	0.0
104	x_B,R,N,L,C,L,4	78.55	0.0
107	x_B,R,N,L,I,M,2	106.4	0.0
109	x_B,R,N,L,I,M,4	5.6	0.0
112	x_B,R,N,L,I,L,2	107.35	0.0
114	x_B,R,N,L,I,L,4	5.65	0.0
117	x_B,R,N,L,A,M,2	185.25	0.0
119	x_B,R,N,L,A,M,4	9.75	0.0
121	x_B,R,N,L,A,L,1	294.5	0.0
124	x_B,R,N,L,A,L,4	15.5	0.0
125	x_B,R,N,L,L,M,0	63.65	0.0
129	x_B,R,N,L,L,M,4	3.35	0.0
133	x_B,R,N,H,W,P,3	122.55	0.0
134	x_B,R,N,H,W,P,4	6.45	0.0
135	x_B,R,N,H,W,M,0	388.55	0.0
139	x_B,R,N,H,W,M,4	20.45	0.0
142	x_B,R,N,H,W,L,2	670.7	0.0
144	x_B,R,N,H,W,L,4	35.3	0.0
148	x_B,R,N,H,C,P,3	55.1	0.0
149	x_B,R,N,H,C,P,4	2.9	0.0
150	x_B,R,N,H,C,M,0	483.55	0.0
154	x_B,R,N,H,C,M,4	25.45	0.0
156	x_B,R,N,H,C,L,1	968.05	0.0
159	x_B,R,N,H,C,L,4	50.95	0.0
160	x_B,R,N,H,A,M,0	54.15	0.0
164	x_B,R,N,H,A,M,4	2.85	0.0
165	x_B,R,N,H,L,M,0	112.1	0.0
169	x_B,R,N,H,L,M,4	5.9	0.0
170	x_B,R,N,C,P,M,0	419.9	0.0
174	x_B,R,N,C,P,M,4	22.1	0.0
175	x_B,R,N,C,P,L,0	795.15	0.0
179	x_B,R,N,C,P,L,4	41.85	0.0
180	x_B,R,N,C,D,M,0	358.15	0.0
184	x_B,R,N,C,D,M,4	18.85	0.0
185	x_B,R,N,C,D,L,0	514.9	0.0
189	x_B,R,N,C,D,L,4	27.1	0.0
193	x_B,R,N,C,W,S,3	154.85	0.0
194	x_B,R,N,C,W,S,4	8.15	0.0
198	x_B,R,N,C,W,P,3	247.0	0.0
199	x_B,R,N,C,W,P,4	13.0	0.0
202	x_B,R,N,C,W,M,2	1662.5	0.0
204	x_B,R,N,C,W,M,4	87.5	0.0
206	x_B,R,N,C,W,L,1	2922.2	0.0
209	x_B,R,N,C,W,L,4	153.8	0.0
213	x_B,R,N,C,C,S,3	98.8	0.0
214	x_B,R,N,C,C,S,4	5.2	0.0
218	x_B,R,N,C,C,P,3	184.3	0.0
219	x_B,R,N,C,C,P,4	9.7	0.0
222	x_B,R,N,C,C,M,2	937.65	0.0
224	x_B,R,N,C,C,M,4	49.35	0.0
226	x_B,R,N,C,C,L,1	4466.9	0.0
229	x_B,R,N,C,C,L,4	235.1	0.0
232	x_B,R,N,C,I,M,2	75.05	0.0
234	x_B,R,N,C,I,M,4	3.95	0.0
237	x_B,R,N,C,I,L,2	227.05	0.0
239	x_B,R,N,C,I,L,4	11.95	0.0
242	x_B,R,N,C,A,M,2	107.35	0.0
244	x_B,R,N,C,A,M,4	5.65	0.0
247	x_B,R,N,C,A,L,2	130.15	0.0
249	x_B,R,N,C,A,L,4	6.85	0.0
252	x_B,R,N,C,L,M,2	152.95	0.0
254	x_B,R,N,C,L,M,4	8.05	0.0
257	x_B,R,N,C,L,L,2	133.0	0.0
259	x_B,R,N,C,L,L,4	7.0	0.0
262	x_B,R,N,R,P,M,2	129.2	0.0
264	x_B,R,N,R,P,M,4	6.8	0.0
267	x_B,R,N,R,P,L,2	64.6	0.0
269	x_B,R,N,R,P,L,4	3.4	0.0
272	x_B,R,N,R,D,M,2	114.0	0.0
274	x_B,R,N,R,D,M,4	6.0	0.0
277	x_B,R,N,R,D,L,2	298.3	0.0
279	x_B,R,N,R,D,L,4	15.7	0.0
283	x_B,R,N,R,W,S,3	57.95	0.0
284	x_B,R,N,R,W,S,4	3.05	0.0
288	x_B,R,N,R,W,P,3	121.6	0.0
289	x_B,R,N,R,W,P,4	6.4	0.0
291	x_B,R,N,R,W,M,1	575.7	0.0
294	x_B,R,N,R,W,M,4	30.3	0.0
297	x_B,R,N,R,W,L,2	1832.55	0.0
299	x_B,R,N,R,W,L,4	96.45	0.0
303	x_B,R,N,R,C,P,3	105.45	0.0
304	x_B,R,N,R,C,P,4	5.55	0.0
306	x_B,R,N,R,C,M,1	722.0	0.0
309	x_B,R,N,R,C,M,4	38.0	0.0
312	x_B,R,N,R,C,L,2	2261.95	0.0
314	x_B,R,N,R,C,L,4	119.05	0.0
315	x_B,R,N,R,A,L,0	75.05	0.0
319	x_B,R,N,R,A,L,4	3.95	0.0
320	x_B,R,N,R,L,L,0	53.2	0.0
324	x_B,R,N,R,L,L,4	2.8	0.0
325	x_B,R,O,L,C,L,0	61.75	0.0
329	x_B,R,O,L,C,L,4	3.25	0.0
332	x_B,R,O,H,C,L,2	159.6	0.0
334	x_B,R,O,H,C,L,4	8.4	0.0
335	x_B,R,O,C,P,L,0	78.85	0.0
339	x_B,R,O,C,P,L,4	4.15	0.0
340	x_B,R,O,C,D,L,0	121.6	0.0
344	x_B,R,O,C,D,L,4	6.4	0.0
345	x_B,R,O,C,W,M,0	62.7	0.0
349	x_B,R,O,C,W,M,4	3.3	0.0
350	x_B,R,O,C,W,L,0	318.25	0.0
354	x_B,R,O,C,W,L,4	16.75	0.0
358	x_B,R,O,C,C,S,3	74.1	0.0
359	x_B,R,O,C,C,S,4	3.9	0.0
360	x_B,R,O,C,C,M,0	48.45	0.0
364	x_B,R,O,C,C,M,4	2.55	0.0
365	x_B,R,O,C,C,L,0	295.45	0.0
369	x_B,R,O,C,C,L,4	15.55	0.0
370	x_B,R,O,R,P,L,0	77.9	0.0
374	x_B,R,O,R,P,L,4	4.1	0.0
375	x_B,R,O,R,D,L,0	235.6	0.0
379	x_B,R,O,R,D,L,4	12.4	0.0
383	x_B,R,O,R,W,S,3	57.0	0.0
384	x_B,R,O,R,W,S,4	3.0	0.0
388	x_B,R,O,R,W,P,3	59.85	0.0
389	x_B,R,O,R,W,P,4	3.15	0.0
390	x_B,R,O,R,W,M,0	233.7	0.0
394	x_B,R,O,R,W,M,4	12.3	0.0
396	x_B,R,O,R,W,L,1	1204.6	0.0
399	x_B,R,O,R,W,L,4	63.4	0.0
403	x_B,R,O,R,C,S,3	55.1	0.0
404	x_B,R,O,R,C,S,4	2.9	0.0
408	x_B,R,O,R,C,P,3	66.5	0.0
409	x_B,R,O,R,C,P,4	3.5	0.0
410	x_B,R,O,R,C,M,0	342.0	0.0
414	x_B,R,O,R,C,M,4	18.0	0.0
415	x_B,R,O,R,C,L,0	1530.45	0.0
419	x_B,R,O,R,C,L,4	80.55	0.0
423	x_B,R,P,L,W,S,3	132.05	0.0
424	x_B,R,P,L,W,S,4	6.95	0.0
428	x_B,R,P,L,W,P,3	80.75	0.0
429	x_B,R,P,L,W,P,4	4.25	0.0
430	x_B,R,P,L,W,M,0	64.6	0.0
434	x_B,R,P,L,W,M,4	3.4	0.0
435	x_B,R,P,L,W,L,0	402.8	0.0
439	x_B,R,P,L,W,L,4	21.2	0.0
443	x_B,R,P,L,C,S,3	147.25	0.0
444	x_B,R,P,L,C,S,4	7.75	0.0
448	x_B,R,P,L,C,P,3	50.35	0.0
449	x_B,R,P,L,C,P,4	2.65	0.0
452	x_B,R,P,L,C,M,2	80.75	0.0
454	x_B,R,P,L,C,M,4	4.25	0.0
457	x_B,R,P,L,C,L,2	447.45	0.0
459	x_B,R,P,L,C,L,4	23.55	0.0
462	x_B,R,P,L,I,L,2	68.4	0.0
464	x_B,R,P,L,I,L,4	3.6	0.0
467	x_B,R,P,L,A,M,2	73.15	0.0
469	x_B,R,P,L,A,M,4	3.85	0.0
472	x_B,R,P,L,A,L,2	80.75	0.0
474	x_B,R,P,L,A,L,4	4.25	0.0
478	x_B,R,P,H,W,P,3	72.2	0.0
479	x_B,R,P,H,W,P,4	3.8	0.0
482	x_B,R,P,H,W,M,2	192.85	0.0
484	x_B,R,P,H,W,M,4	10.15	0.0
486	x_B,R,P,H,W,L,1	307.8	0.0
489	x_B,R,P,H,W,L,4	16.2	0.0
492	x_B,R,P,H,C,M,2	316.35	0.0
494	x_B,R,P,H,C,M,4	16.65	0.0
497	x_B,R,P,H,C,L,2	611.8	0.0
499	x_B,R,P,H,C,L,4	32.2	0.0
502	x_B,R,P,H,L,L,2	75.05	0.0
504	x_B,R,P,H,L,L,4	3.95	0.0
508	x_B,R,P,C,P,S,3	50.35	0.0
509	x_B,R,P,C,P,S,4	2.65	0.0
512	x_B,R,P,C,P,L,2	278.35	0.0
514	x_B,R,P,C,P,L,4	14.65	0.0
518	x_B,R,P,C,D,S,3	63.65	0.0
519	x_B,R,P,C,D,S,4	3.35	0.0
520	x_B,R,P,C,D,L,0	206.15	0.0
524	x_B,R,P,C,D,L,4	10.85	0.0
528	x_B,R,P,C,W,S,3	440.8	0.0
529	x_B,R,P,C,W,S,4	23.2	0.0
533	x_B,R,P,C,W,P,3	263.15	0.0
534	x_B,R,P,C,W,P,4	13.85	0.0
537	x_B,R,P,C,W,M,2	152.0	0.0
539	x_B,R,P,C,W,M,4	8.0	0.0
540	x_B,R,P,C,W,L,0	1108.65	0.0
544	x_B,R,P,C,W,L,4	58.35	0.0
