bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
1	BdFtVol Per1	FREE	1.0	9.99999999E8	1.0	null	null	214	v_0	5.4364480806255035E7	0.0	0.0
2	CuFt Harv 1 - time period 1	SOFT	1.0	9.99999999E8	1.0	null	null	0	y_0	7091249.468008166	0.0	9.929087495319918E8
3	CuFt Harv 2 - time period 2	FREE	1.0	null	null	null	null	215	v_1	4.7089580546004415E7	0.0	0.0
4	CuFt Harv 3 - time period 3	FREE	1.0	null	null	null	null	216	v_2	4.7089580546004415E7	0.0	0.0
5	CuFt Harv 4 - time period 4	FREE	1.0	null	null	null	null	217	v_3	4.7089580546004415E7	0.0	0.0
6	CuFt Harv 5 - time period 5	FREE	1.0	null	null	null	null	218	v_4	4.7089580546004415E7	0.0	0.0
7	CuFt Harv 6 - time period 6	FREE	1.0	null	null	null	null	219	v_5	4.7089580546004415E7	0.0	0.0
8	CuFt Harv 7 - time period 7	FREE	1.0	null	null	null	null	220	v_6	5.0527529146646276E7	0.0	0.0
9	CuFt Harv 8 - time period 8	FREE	1.0	null	null	null	null	221	v_7	5.0527529146646276E7	0.0	0.0
10	CuFt Harv 9 - time period 9	FREE	1.0	null	null	null	null	222	v_8	5.0527529146646276E7	0.0	0.0
11	CuFt Harv 10 - time period 10	FREE	1.0	null	null	null	null	223	v_9	5.0527529146646276E7	0.0	0.0
12	CuFt Harv 11 - time period 11	FREE	1.0	null	null	null	null	224	v_10	5.0527529146646276E7	0.0	0.0
13	CuFt Harv 12 - time period 12	FREE	1.0	null	null	null	null	225	v_11	5.0527529146646276E7	0.0	0.0
14	CuFt Harv 13 - time period 13	FREE	1.0	null	null	null	null	226	v_12	5.0527529146646276E7	0.0	0.0
15	CuFt Harv 14 - time period 14	FREE	1.0	null	null	null	null	227	v_13	5.0527529146646276E7	0.0	0.0
16	CuFt Harv 15 - time period 15	FREE	1.0	null	null	null	null	228	v_14	5.0527529146646276E7	0.0	0.0
17	CuFt Inventory 5-14	FREE	0.1	null	null	null	null	229	v_15	9.282695252516278E8	0.0	0.0
18	CuFtInventory 15	FREE	1.0	null	null	null	null	230	v_16	1.0594926750253389E9	0.0	0.0
19	msf 1 - time period 1	HARD	1.0	45000.0	null	null	null	3	z_0	45000.000000000065	0.0	0.0
20	msf 2 - time period 2	HARD	1.0	45000.0	null	null	null	4	z_1	44999.99999999999	0.0	0.0
21	msf 3 - time period 3	HARD	1.0	45000.0	null	null	null	5	z_2	45000.0	0.0	0.0
22	msf 4 - time period 4	HARD	1.0	45000.0	null	null	null	6	z_3	44999.999999999956	0.0	0.0
23	msf 5 - time period 5	HARD	1.0	45000.0	null	null	null	7	z_4	52768.48000000003	0.0	0.0
24	msf 6 - time period 6	HARD	1.0	45000.0	null	null	null	8	z_5	45000.000000000065	0.0	0.0
25	msf 7 - time period 7	HARD	1.0	45000.0	null	null	null	9	z_6	45000.0	0.0	0.0
26	msf 8 - time period 8	HARD	1.0	45000.0	null	null	null	10	z_7	45000.0	0.0	0.0
27	msf 9 - time period 9	HARD	1.0	45000.0	null	null	null	11	z_8	44999.999999999956	0.0	0.0
28	msf 10 - time period 10	HARD	1.0	45000.0	null	null	null	12	z_9	52768.48000000003	0.0	0.0
29	msf 11 - time period 11	HARD	1.0	45000.0	null	null	null	13	z_10	45000.0	0.0	0.0
30	msf 12 - time period 12	HARD	1.0	45000.0	null	null	null	14	z_11	45000.00000000001	0.0	0.0
31	msf 13 - time period 13	HARD	1.0	45000.0	null	null	null	15	z_12	45000.0	0.0	0.0
32	msf 14 - time period 14	HARD	1.0	45000.0	null	null	null	16	z_13	45000.0	0.0	0.0
33	msf 15 - time period 15	HARD	1.0	45000.0	null	null	null	17	z_14	52768.48000000003	0.0	0.0
334	budget 1 - time period 1	FREE	1.0	null	null	2.990726E7	null	231	v_17	3.340275447033068E7	0.0	0.0
335	budget 2 - time period 2	FREE	1.0	null	null	2.990726E7	null	232	v_18	9.121062648565629E7	0.0	0.0
336	budget 3 - time period 3	FREE	1.0	null	null	2.990726E7	null	233	v_19	7.650330902916397E7	0.0	0.0
337	budget 4 - time period 4	FREE	1.0	null	null	2.990726E7	null	234	v_20	7.987099615717669E7	0.0	0.0
338	budget 5 - time period 5	FREE	1.0	null	null	2.990726E7	null	235	v_21	7.669525067782378E7	0.0	0.0
621	Budget 1 - time period 6	FREE	1.0	null	null	2.990726E7	null	236	v_22	7.796321771554057E7	0.0	0.0
622	Budget 2 - time period 7	FREE	1.0	null	null	2.990726E7	null	237	v_23	8.844961381247471E7	0.0	0.0
623	Budget 3 - time period 8	FREE	1.0	null	null	2.990726E7	null	238	v_24	8.545913806681904E7	0.0	0.0
624	Budget 4 - time period 9	FREE	1.0	null	null	2.990726E7	null	239	v_25	8.771014392561202E7	0.0	0.0
