bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	var_id	var_name	var_value	var_reduced_cost	total_penalty
1	bdft per 1	SOFT	1.0	9.99999999E8	1.0	null	null	0	y_0	5.0685314222142327E8	0.0	4.9314685677857673E8
2	cuft harvest 1 - time period 1	FREE	1.0	null	null	null	null	23	v_0	9.71145197865585E7	0.0	0.0
3	cuft harvest 2 - time period 2	FREE	1.0	null	null	null	null	24	v_1	9.71145197865585E7	0.0	0.0
4	cuft harvest 3 - time period 3	FREE	1.0	null	null	null	null	25	v_2	9.71145197865585E7	0.0	0.0
5	cuft harvest 4 - time period 4	FREE	1.0	null	null	null	null	26	v_3	9.71145197865585E7	0.0	0.0
6	cuft harvest 5 - time period 5	FREE	1.0	null	null	null	null	27	v_4	9.71145197865585E7	0.0	0.0
7	cuft harvest 6 - time period 6	FREE	1.0	null	null	null	null	28	v_5	9.71145197865585E7	0.0	0.0
8	cuft harvest 7 - time period 7	FREE	1.0	null	null	null	null	29	v_6	9.71145197865585E7	0.0	0.0
9	cuft harvest 8 - time period 8	FREE	1.0	null	null	null	null	30	v_7	9.71145197865585E7	0.0	0.0
10	cuft harvest 9 - time period 9	FREE	1.0	null	null	null	null	31	v_8	9.71145197865585E7	0.0	0.0
11	cuft harvest 10 - time period 10	FREE	1.0	null	null	null	null	32	v_9	9.71145197865585E7	0.0	0.0
12	cuft harvest 11 - time period 11	FREE	1.0	null	null	null	null	33	v_10	9.71145197865585E7	0.0	0.0
13	cuft harvest 12 - time period 12	FREE	1.0	null	null	null	null	34	v_11	9.71145197865585E7	0.0	0.0
14	cuft harvest 13 - time period 13	FREE	1.0	null	null	null	null	35	v_12	9.71145197865585E7	0.0	0.0
15	cuft harvest 14 - time period 14	FREE	1.0	null	null	null	null	36	v_13	9.71145197865585E7	0.0	0.0
16	cuft harvest 15 - time period 15	FREE	1.0	null	null	null	null	37	v_14	9.71145197865585E7	0.0	0.0
17	cuft harvest 16 - time period 16	FREE	1.0	null	null	null	null	38	v_15	9.71145197865585E7	0.0	0.0
18	cuft harvest 17 - time period 17	FREE	1.0	null	null	null	null	39	v_16	9.71145197865585E7	0.0	0.0
19	cuft harvest 18 - time period 18	FREE	1.0	null	null	null	null	40	v_17	9.71145197865585E7	0.0	0.0
20	cuft harvest 19 - time period 19	FREE	1.0	null	null	null	null	41	v_18	9.71145197865585E7	0.0	0.0
21	cuft harvest 20 - time period 20	FREE	1.0	null	null	null	null	42	v_19	9.71145197865585E7	0.0	0.0
22	G BdftHarv 1 - time period 1	FREE	1.0	null	null	null	null	43	v_20	3.448928520268551E8	0.0	0.0
23	G BdftHarv 2 - time period 2	FREE	1.0	null	null	null	null	44	v_21	3.37994994986318E8	0.0	0.0
24	G BdftHarv 3 - time period 3	FREE	1.0	null	null	null	null	45	v_22	3.312350950865916E8	0.0	0.0
25	G BdftHarv 4 - time period 4	FREE	1.0	null	null	null	null	46	v_23	3.246103931848598E8	0.0	0.0
26	G BdftHarv 5 - time period 5	FREE	1.0	null	null	null	null	47	v_24	3.181181853211626E8	0.0	0.0
27	G BdftHarv 6 - time period 6	FREE	1.0	null	null	null	null	48	v_25	3.117558216147393E8	0.0	0.0
