index	name	value	reduced_cost
0	y_0	500000.0	0.0
1	y_1	628677.54	0.0
2	y_2	500000.0	0.0
3	y_3	2.3682477105E8	0.0
9	u_1	128677.54	0.0
12	z_0	100000.0	-1.0
16	x_B,R,N,L,D,M,3	103.79	0.0
17	x_B,R,N,L,D,M,4	3.21	0.0
20	x_B,R,N,L,D,L,2	59.17	0.0
22	x_B,R,N,L,D,L,4	1.83	0.0
23	x_B,R,N,L,W,P,0	102.82	0.0
27	x_B,R,N,L,W,P,4	3.18	0.0
28	x_B,R,N,L,W,M,0	909.86	0.0
32	x_B,R,N,L,W,M,4	28.14	0.0
36	x_B,R,N,L,W,L,3	1293.01	0.0
37	x_B,R,N,L,W,L,4	39.99	0.0
39	x_B,R,N,L,C,P,1	77.6	0.0
42	x_B,R,N,L,C,P,4	2.4	0.0
44	x_B,R,N,L,C,M,1	738.17	0.0
47	x_B,R,N,L,C,M,4	22.83	0.0
50	x_B,R,N,L,C,L,2	1523.87	0.0
52	x_B,R,N,L,C,L,4	47.13	0.0
54	x_B,R,N,L,I,M,1	108.64	0.0
57	x_B,R,N,L,I,M,4	3.36	0.0
58	x_B,R,N,L,I,L,0	109.61	0.0
62	x_B,R,N,L,I,L,4	3.39	0.0
63	x_B,R,N,L,A,M,0	189.15	0.0
67	x_B,R,N,L,A,M,4	5.85	0.0
68	x_B,R,N,L,A,L,0	300.7	0.0
72	x_B,R,N,L,A,L,4	9.3	0.0
73	x_B,R,N,L,L,M,0	63.65	0.0
77	x_B,R,N,L,L,M,4	3.35	0.0
78	x_B,R,N,H,W,P,0	125.13	0.0
82	x_B,R,N,H,W,P,4	3.87	0.0
86	x_B,R,N,H,W,M,3	396.73	0.0
87	x_B,R,N,H,W,M,4	12.27	0.0
91	x_B,R,N,H,W,L,3	684.82	0.0
92	x_B,R,N,H,W,L,4	21.18	0.0
94	x_B,R,N,H,C,P,1	56.26	0.0
97	x_B,R,N,H,C,P,4	1.74	0.0
99	x_B,R,N,H,C,M,1	493.73	0.0
102	x_B,R,N,H,C,M,4	15.27	0.0
104	x_B,R,N,H,C,L,1	988.43	0.0
